walletAddress,projectName,projectSymbol,amountInvested,tokensReceived,purchaseTokenSymbol,tokenContractAddress,investmentType,investmentDate,transactionHash
0x02375834C4F4170D5557a8c00B639beCC5B97166,ArbPad,ARP,251,76060.60606060606,USDT,0x55d398326f99059ff775485246999027b3197955,NORMAL,2024-10-08T09:48:35.835Z,0x3584cbb7cd7abf420b57552bef2c7b6f9ef17b693aa3bca0f0e8dbd0061dc8de
0x02375834C4F4170D5557a8c00B639beCC5B97166,Jlaunchpad,JLP,251,130956.5217391304,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:46:21.076Z,0x0fe7dcd016d78c61073b0e8a79ec1e06c87f5d855584036d1fb706fc830e64aa
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,DogeTon,DOTE,10,222222.2222222222,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:44:48.303Z,0xf34065da1bc83178eeb2234ba9136c8999b60a9779958f3e9e4655e0bf9c4482
0x02375834C4F4170D5557a8c00B639beCC5B97166,Dragon Crossing,DGC,251,16585.44643594615,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:42:38.994Z,0x33dc15838e3421198cfeb2b576db699da1524723cac6b0b76dc0261cd52dc4a2
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,PepeTon,PEPT,10,244897.9591836735,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:41:57.030Z,0x872d421e664865ef61e4ee7faa8ead544f2b4bed8e5d7eb0deac29f071ccb834
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,BomeTon,BMT,10,260869.5652173913,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:40:44.991Z,0x898d8b4644e3435c3e6ce16c636cfedbf4699afc548b2147b783636519f03ef4
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,MemeTon,MMT,10,285714.2857142857,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:39:20.817Z,0xa24d148363cec8c4cab9adab2a1f4dce58b97286fe99b1805d3bf820f4f4cf68
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,Soli Prime,SLP,10,833.3333333333333,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:37:57.597Z,0xe7b73f36ceb70eb5ab50a755b4936fb378355e7e55ca2a00c12a17de526207ec
0x81E80745572b9e974a1250fcc043661f509fd771,SnowMan,SOM,10,176470.5882352941,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:20:59.650Z,0xb3abac8fe261a230f445a88fa542ccaf51d9e3bf2e49062a32b24e4d54ceb812
0x81E80745572b9e974a1250fcc043661f509fd771,ShibaTon,SHIT,10,190476.1904761905,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:19:42.777Z,0xb89db65cf60dd69e92068de9771c38a22cd6ccb67073fa3696bc006df9b5f93c
